epoch,train_loss,train_recon,train_kl,val_loss,val_recon,val_kl
0,59.44650189508311,59.384537230860424,0.061964787862010574,58.945547367023714,58.89543091659615,0.050116423802992804
1,58.866629969307645,58.78880900541046,0.07782083221426676,58.75607474200676,58.63789102470047,0.11818374252674062
2,58.66810790172693,58.47246925844281,0.19563875576689116,58.47916258252129,58.14784151288816,0.33132171587862336
3,58.04661970686886,57.288335796300295,0.7582838219478139,57.24757630509014,55.888128681372045,1.359448348003212
4,56.49318395741494,54.94121626259375,1.551967669904165,55.85424216831988,54.04176739554237,1.8124744975964586
5,54.81656797080056,52.40335991568065,2.413208149788479,54.03367255978804,51.34746394660475,2.6862091263529413
6,53.39413129511922,50.49507861992149,2.899052977212521,52.59567845157936,49.34162602540714,3.254052481208437
7,52.13930900857575,48.547850436583715,3.5914584715713107,51.462133457469335,47.49100808435136,3.97112559369279
8,50.942637137119505,46.77945698648859,4.16318023728948,50.3871016231499,46.105772684026775,4.281329122290512
9,49.95315462733874,45.4408117782438,4.512342390105582,49.63033107898599,45.03230124663619,4.598029831919829
10,49.12801190433266,44.341365782384,4.786646012604035,48.76787278886525,43.84241436751067,4.925458421784548
11,48.60564412027765,43.546394783372676,5.0592494566787325,48.514977512755195,43.34773102357003,5.167247075664771
12,48.19837280583086,43.0633205142876,5.135052290790648,48.129243333023666,42.81877382861482,5.310469174191584
13,47.745344978685175,42.486745884668466,5.258598324088664,47.83475504360079,42.408931842250155,5.425822871563346
14,47.508028988155466,42.11874926630512,5.3892798416240915,47.49799643431406,42.25944000670671,5.238556390629898
15,47.25301807321852,41.74587415589824,5.507144329432301,47.3189728670662,41.810821175467765,5.5081515810960475
16,46.96392838694197,41.409389177599785,5.5545393015916344,47.11519893168113,41.46103232050931,5.654165804547378
17,46.69263931670076,41.009381713351104,5.6832576762460665,46.81443000979204,41.320545963600374,5.4938846700787005
18,46.5321281992193,40.764223159394376,5.767904837478242,46.68028881874463,41.191864780739046,5.488424074123097
19,46.25405273609527,40.48362756877499,5.770425515459785,46.39369477529156,40.60443487072765,5.789259317224364
20,46.06300864235793,40.21157028645512,5.851438237634291,46.292297180973804,40.40270188781353,5.889594743228153
21,45.82070509040772,39.890254293138575,5.930450549550363,46.22484009710919,40.40363003220829,5.821210248498255
22,45.61393737878982,39.66451104474847,5.949425820755986,45.97076207909958,40.097281178232784,5.873480166907349
23,45.54920206080698,39.49479821171809,6.054403802964169,46.020852806978766,39.90702848374252,6.113824249281337
24,45.36325917722407,39.247478313940626,6.115780890807762,45.94434804202631,39.91884101200362,6.0255069195203035
25,45.26475763761742,39.08368222087185,6.181075866811036,45.68349882973756,39.6288575016775,6.054641731372279
26,45.12136759365559,38.892502114039,6.228864984179027,45.5256516892594,39.53974501779211,5.98590714830445
27,45.00370066577176,38.71193604410165,6.291764503401592,45.43482604856637,39.22770958875513,6.20711646024121
28,44.83365789454309,38.52994386915962,6.303714016459572,45.47372202963524,39.26592547362511,6.207797252992126
29,44.77665385662367,38.43685976133809,6.339794260431438,45.31194569249751,38.953869223702156,6.35807709225241
30,44.50606230829318,38.15648624630899,6.349576062736812,45.22735584695883,38.97764770053764,6.249707780086425
31,44.46697371782821,38.03819802250911,6.428775630593972,45.135803360246776,38.922550345886066,6.213252867740806
32,44.46113623927653,37.92872378361131,6.532412344815363,45.20540285927417,38.924873314213386,6.2805292152735
33,44.33803133959163,37.82312835211684,6.514903105743305,44.92832417741781,38.52632215068188,6.4020021006908365
34,44.30926041371927,37.70769290601522,6.601567838748386,44.936246742957124,38.4050850623142,6.5311622305750525
35,44.198891257164576,37.60530144950583,6.593590202675597,44.91452914514017,38.38959611526366,6.524932773614166
36,44.16393330519202,37.47888527475592,6.685048159133756,44.94556283219856,38.5325224612402,6.413041544777515
37,44.008193631693636,37.37359347682123,6.634599430316465,44.78107843149665,38.35412254367894,6.4269552278131705
38,43.95405932472685,37.263861414276086,6.690197553387355,44.70417319556633,38.121579884837836,6.582592613746499
39,43.879999293657406,37.14338276894278,6.736616477837289,44.60154080885396,38.15944025299375,6.44210103312734
40,43.84822503899507,37.02455856770512,6.823667048547824,44.60388377596388,38.1118272346242,6.4920563207648705
41,43.707493511316066,37.029678151196265,6.6778158555573786,44.549236438637706,38.000569686683264,6.548667375841476
42,43.677025337606295,36.87125791100262,6.805767352954645,44.523028818307644,37.89985069914698,6.623178302758013
43,43.6113226149773,36.88427494741481,6.727047914528659,44.522788967067214,37.800389588255406,6.722399452766714
44,43.57400384965314,36.749506701584465,6.824497487284285,44.38108864896893,37.7192988829961,6.661790060072573
45,43.568953487219915,36.67872708136764,6.890226460900893,44.35913561312759,37.51757908125414,6.8415564953259675
46,43.43710900858263,36.58202658548968,6.855082561467116,44.459963627394735,37.828739121542846,6.631224945711595
47,43.42155213898978,36.53620071067079,6.885351612065261,44.46650480127636,37.869180443697516,6.597324063909064
48,43.39277499950456,36.47380134126648,6.918973300422058,44.31263268542139,37.63635974880594,6.6762731567602955
49,43.324518399415986,36.45498685611007,6.86953180962512,44.33048716442772,37.63179155767663,6.698695569773641
50,43.31733792465193,36.36290756019154,6.95443041950901,44.28050778855925,37.38453983207132,6.895967809868031
51,43.23973692901508,36.28484658001509,6.954890257503161,44.27196081658545,37.48214346745511,6.789817679777567
52,43.23408964516211,36.22906764480952,7.005021449113779,44.39799270079521,37.6293990510987,6.768593649696508
53,43.17660304760852,36.21254516567157,6.964057551645238,44.1560035856916,37.367756271706284,6.788247461035189
54,43.17000567448045,36.131029985292386,7.038975569414313,44.159540446413004,37.320129487404856,6.839410408216086
55,43.08380614907524,36.0883890257344,6.995417086892628,44.2865135701956,37.28853003843289,6.997982394491046
56,43.08359621944664,36.02705513611184,7.056540872064223,44.087680341963086,37.083232329276576,7.004448709668503
57,43.0104363803799,35.935392528133974,7.07504403523958,44.13405765296103,37.3796015637108,6.754456419037526
58,42.98583382968838,35.951874140553436,7.033959653439355,44.03878178437407,36.99438337252095,7.044398779047836
59,42.96514783857103,35.78026176547252,7.184886118470614,44.313118978488326,37.50150482411638,6.811613824584658
60,42.900645235184214,35.80801494387656,7.0926299245677376,44.07935257577165,36.96665351599374,7.11269869344314
61,42.87680409720678,35.686209742084834,7.190594612517244,44.15178264896541,37.255852719058424,6.895929783717053
62,42.76973071695046,35.631832286228324,7.137898659840512,44.03496312106161,37.14005624205277,6.894907979733026
63,42.82286273908991,35.66604291535284,7.156819732992867,43.95700911856429,37.05319114458034,6.90381731311946
64,42.6815591487433,35.561082000044316,7.120477341369147,44.139137615482475,37.17520037376741,6.963937424882453
65,42.80497155947508,35.5699332571621,7.2350377518267885,43.96199992586622,37.018492764884876,6.9435076373885405
66,42.657636569774674,35.4347449594044,7.222891684771928,43.946657763825975,36.9636961177623,6.982961683041132
67,42.67159918835628,35.44058955040967,7.231010068659046,43.84239661489337,36.767303913966074,7.07509339833926
68,42.613158452873705,35.356501439727815,7.2566570228224005,43.96253974164682,36.8261255964274,7.136413962052038
69,42.61867147486535,35.3503642610122,7.268307517373172,43.863429937199285,36.72061955251599,7.142810714470577
70,42.548198122800805,35.23402922414201,7.314168899411413,43.900031259191046,36.9674042442879,6.932626611160953
71,42.544591898095646,35.24373377786011,7.300857780267314,43.93315870252356,36.843720160055206,7.089438689088262
72,42.55855368234663,35.222395062365955,7.336159097570443,43.94285233672188,36.79648969493759,7.146362275019543
73,42.452236855903635,35.139592862478644,7.312643700334104,43.9090772341564,36.79957091432095,7.10950698069993
74,42.4557571935815,35.14127627591001,7.314481054540417,43.87125426310478,36.869851163102226,7.001403540292229
75,42.48909078810906,35.106064037163875,7.383026658695742,43.7964244701499,36.66485060819965,7.131572760796096
76,42.33583171719763,35.0417483272789,7.294083535711553,43.80504265209917,36.54883220111926,7.256210524504845
77,42.34990316259821,35.01444594115523,7.335457000495885,43.80041192951667,36.66213443023434,7.138278049214452
78,42.33086790065486,34.91864736787093,7.412220184644422,43.76551599390771,36.691748781608396,7.073767359349188
79,42.38485127463013,34.9048160651894,7.4800348337769105,43.658306262856456,36.53732428451827,7.120982272007962
80,42.177083637534295,34.8502749205442,7.326809112006943,43.86182096049633,36.68371487437765,7.17810571978391
81,42.268371037566006,34.821953898433094,7.446417322126559,43.670722256274345,36.42373244798968,7.2469888546103505
82,42.25262334107546,34.7819707618894,7.470653138596148,43.7805935659314,36.4785633104357,7.302029594631212
83,42.119593036913955,34.69577052257241,7.423822404244303,43.765050889781406,36.54709984355407,7.2179504588877865
84,42.1733788775215,34.722690109201324,7.450688869493521,43.656189023319726,36.406003571932544,7.250185708509467
85,42.134906180466714,34.654529759902694,7.480376181769129,43.61959381722673,36.45729472897309,7.162298978181225
86,42.14147164947957,34.617404599711215,7.524067004396252,43.697772893742254,36.49982913320832,7.197943026144511
87,42.072452560648436,34.53811597512298,7.534336860015938,43.56508499916015,36.34001288315108,7.225071015284876
88,42.08896620104251,34.631004219958314,7.457962531570383,43.62618327162306,36.189363419418406,7.436819558104919
89,41.98027531345372,34.514697416148564,7.465577402620197,43.54821980977725,36.233795045623914,7.314425387610392
90,42.021855873185324,34.4498176351072,7.572038266355048,43.703023922561634,36.39577630664767,7.307247578936509
91,42.01070700111088,34.464492745383346,7.546213595144106,43.56291268901636,36.17223247049949,7.39068087895138
92,41.983358623586355,34.44755014292686,7.5358085171077,43.65875774552093,36.38198801974545,7.276770055562769
93,41.91662317596401,34.37058428105265,7.5460384909706155,43.74558089164273,36.58591477692504,7.159665711405473
94,41.958233411201896,34.40057087224124,7.557662621533589,43.69089573068163,36.386891054612654,7.304004896213817
95,41.972592282644655,34.372931272900225,7.599661404008661,43.65531529941679,36.06052941820232,7.594785037182601
96,41.92725632591205,34.235397887633106,7.691858492574939,43.70023012634222,36.49488222760269,7.2053486322690175
97,41.839932277640735,34.261298446913315,7.57863386717563,43.67388040595919,36.43687149336792,7.237008435754114
98,41.87301721583628,34.268951425477105,7.604065624460696,43.67313932964026,36.35063629907138,7.3225030671163545
99,41.85715822135985,34.15698757236141,7.700170262905495,43.612922441432666,36.21591293844046,7.39700964918214
